Team,Elo Rating
Miami,1567
Minnesota Duluth,1563
Michigan,1559
Penn State,1557
Minnesota State,1546
Michigan State,1544
Colorado College,1541
Union,1533
Western Michigan,1528
St. Cloud State,1528
Massachusetts,1527
Denver,1526
Northeastern,1523
Quinnipiac,1522
Michigan Tech,1522
Ohio State,1519
Maine,1518
Wisconsin,1518
North Dakota,1516
Army,1514
Providence,1514
Sacred Heart,1512
Boston College,1511
Niagara,1508
Merrimack,1507
RIT,1506
Bowling Green,1506
Colgate,1506
Canisius,1504
Bemidji State,1502
Augustana,1501
Vermont,1500
Connecticut,1498
Mass. Lowell,1497
Omaha,1497
Bentley,1494
Notre Dame,1494
New Hampshire,1488
Robert Morris,1486
Boston University,1483
Clarkson,1480
Long Island,1480
Lindenwood,1478
Arizona State,1476
Holy Cross,1475
Lake Superior,1470
St. Thomas,1466
St. Lawrence,1460
Ferris State,1460
Alaska,1458
Alaska Anchorage,1455
Minnesota,1455
Stonehill,1453
Air Force,1453
RPI,1435
Mercyhurst,1418
Northern Michigan,1418
